"Tabela 12 - Número de animais abatidos por espécie e variação, ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
segundo os meses - Brasil - 2019 - 2020,,,,,,,,,
,,,,,,,,,
Mês,Número de animais abatidos (mil cabeças) e variação (%),,,,,,,,
,Bovinos,,,Suínos,,,Frangos,,
,2019,2020.0,Variação,2019,2020.0,Variação,2019,2020.0,Variação
Total do ano,32445.85,29696.894,-8.47244254658145,46356.359,49339.026,6.434213265109978,5805315.413000001,5996149.407000001,3.287228693425681
Total do 1º Trimestre,7927.343,7295.7,-7.967902990951703,11298.621,11944.039,5.71236082704254,1438399.797,1515929.636,5.390006252899937
 Janeiro ,2771.629,2450.789,-11.575863869226355,3896.569,4028.176,3.377509804137957,503851.028,514908.605,2.1946123726078737
 Fevereiro ,2541.184,2373.439,-6.601056830202001,3658.904,3786.5,3.487273784718048,464294.511,469077.114,1.0300795910120009
 Março ,2614.53,2471.472,-5.471652648850844,3743.148,4129.363,10.317919569303701,470254.258,531943.917,13.118362662438688
Total do 2º Trimestre,7938.871,7359.06,-7.303444028754214,11396.011,12166.722,6.762989260013863,1424928.381,1414208.627,-0.7523012484653369
 Abril ,2642.359,2259.774,-14.478918269621953,3815.904,3967.771,3.9798433084270446,478413.475,483069.904,0.9733064061374863
 Maio ,2838.93,2573.063,-9.365042463181538,4008.137,4058.716,1.2619079637247843,503773.614,474825.714,-5.746212027690678
 Junho ,2457.582,2526.223,2.793029896866117,3571.97,4140.235,15.909008194357742,442741.292,456313.009,3.0653831583434155
Total do 3º Trimestre,8498.729,7733.485,-9.004216983504232,11750.163,12728.048,8.32231008199631,1471686.76,1513052.526,2.8107724499743414
 Julho ,2944.43,2645.305,-10.15901210081408,4050.501,4454.429,9.972297254092766,508926.115,521353.994,2.4419809936458092
 Agosto ,2875.879,2531.529,-11.973730466406963,3959.551,4160.121,5.065473332708681,496762.811,496585.849,-0.03562303700709313
 Setembro ,2678.42,2556.651,-4.546299684142152,3740.111,4113.498,9.98331332947069,465997.834,495112.683,6.247850714258907
Total do 4º Trimestre,8080.907,7308.649,-9.55657576556691,11911.564,12500.217,4.941861538921333,1470300.475,1552958.618,5.621853791484344
 Outubro ,2918.075,2589.575,-11.257421416516022,4135.775,4232.087,2.328753377541104,516245.753,524016.1,1.5051643436958084
 Novembro ,2614.803,2247.732,-14.03818949266924,3840.942,3994.235,3.991026159728528,475637.486,497289.375,4.552183046396818
 Dezembro ,2548.029,2471.342,-3.0096596231832473,3934.847,4273.895,8.616548496040632,478417.236,531653.143,11.127506075052885
,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Agropecuária - Pesquisa Trimestral do Abate de Animais",,,,,,,,,
Nota: Os dados relativos ao ano de 2020 são preliminares.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Tabela 1a - ,"Peso total das carcaças dos animais abatidos por espécie e variação, ",,,,,,,,
segundo os meses - Brasil - 2019 - 2020,,,,,,,,,
,,,,,,,,,
Mês,Peso total das carcaças de animais abatidos (toneladas) e variação (%),,,,,,,,
,Bovinos,,,Suínos,,,Frangos,,
,2019,2020.0,Variação,2019,2020.0,Variação,2019,2020.0,Variação
Total do ano,8218851.226000001,7773002.204,-5.424712161592316,4125727.6109999996,4475246.402,8.47168848636819,13516524.733000001,13765602.705,1.8427663687240914
Total do 1º Trimestre,1950324.39,1845898.42,-5.354287242441758,990439.629,1072057.732,8.240593430455334,3341338.384,3477374.793,4.071314945274929
 Janeiro ,687081.382,620958.726,-9.623700733605379,342795.769,360516.897,5.1695877261542345,1174793.49,1190141.878,1.3064754044559868
 Fevereiro ,622370.284,598712.055,-3.8013108286513164,319225.267,339233.73,6.267819332734703,1071093.27,1070316.835,-0.07248995225225263
 Março ,640872.724,626227.639,-2.2851783905847856,328418.593,372307.105,13.363589314201828,1095451.624,1216916.08,11.088071197199678
Total do 2º Trimestre,1977662.002,1894181.181,-4.221187488841682,1017467.952,1110329.731,9.126752230128222,3344951.229,3242860.262,-3.0520913463518706
 Abril ,651784.088,576021.652,-11.623854800211076,337605.867,356305.92,5.539018964975506,1114166.098,1106972.503,-0.6456483474872265
 Maio ,709958.505,663837.113,-6.496350374730698,359213.586,374305.133,4.2012740019248485,1186173.414,1095833.356,-7.616091958709181
 Junho ,615919.409,654322.416,6.235070114505836,320648.499,379718.678,18.422097463178822,1044611.717,1040054.403,-0.436268704039422
Total do 3º Trimestre,2197488.18,2062514.783,-6.142167144671518,1057542.992,1172006.685,10.823549857157966,3440873.298,3477967.149,1.0780359457455368
 Julho ,751802.622,696225.518,-7.392512658728123,365331.008,412059.444,12.790711704383995,1198636.532,1189646.956,-0.749983482065264
 Agosto ,744211.855,676279.608,-9.128079127414601,356362.31,383176.917,7.524535072185379,1158038.302,1143104.627,-1.2895665863735695
 Setembro ,701473.703,690009.657,-1.6342802233314746,335849.674,376770.324,12.184216084723666,1084198.464,1145215.566,5.627853573494845
Total do 4º Trimestre,2093376.654,1970407.82,-5.8741857928449,1060277.038,1120852.254,5.7131498494264354,3389361.822,3567400.501,5.252867305118292
 Outubro ,770320.716,704348.957,-8.564193800027564,371471.792,382815.634,3.053755963252258,1189266.111,1204107.635,1.2479565223228573
 Novembro ,677117.037,604898.633,-10.665571836734033,342764.308,359007.953,4.739012966309186,1097906.23,1157424.778,5.421095752412297
 Dezembro ,645938.901,661160.23,2.3564657549553614,346040.938,379028.667,9.532897809911734,1102189.481,1205868.088,9.406604652580608
,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Agropecuária - Pesquisa Trimestral do Abate de Animais",,,,,,,,,
Nota: Os dados relativos ao ano de 2020 são preliminares.,,,,,,,,,
